iter	Passed	Remaining
0	159	159798
1	162	80853
2	164	54521
3	165	41325
4	167	33364
5	169	28040
6	171	24282
7	173	21478
8	175	19293
9	176	17508
10	178	16040
11	179	14813
12	181	13803
13	184	13008
14	186	12256
15	188	11586
16	190	10992
17	191	10458
18	193	9980
19	194	9546
20	196	9151
21	198	8802
22	199	8480
23	201	8180
24	202	7908
25	204	7652
26	205	7416
27	207	7194
28	208	6980
29	209	6781
30	211	6613
31	212	6442
32	214	6273
33	215	6113
34	216	5962
35	217	5818
36	218	5682
37	219	5552
38	220	5426
39	221	5306
40	221	5192
41	223	5088
42	224	4985
43	224	4887
44	225	4788
45	226	4693
46	227	4602
47	227	4516
48	228	4432
49	229	4352
50	229	4274
51	230	4199
52	230	4127
53	231	4056
54	232	3989
55	232	3926
56	233	3868
57	234	3810
58	235	3755
59	236	3701
60	237	3652
61	238	3603
62	239	3555
63	239	3508
64	240	3463
65	241	3418
66	242	3375
67	242	3328
68	243	3287
69	244	3248
70	245	3209
71	246	3172
72	247	3136
73	247	3100
74	248	3066
75	249	3033
76	250	3000
77	251	2968
78	252	2938
79	252	2908
80	253	2878
81	254	2849
82	255	2821
83	256	2794
84	256	2764
85	257	2738
86	258	2710
87	259	2684
88	259	2660
89	260	2636
90	261	2613
91	262	2590
92	263	2567
93	264	2545
94	264	2523
95	265	2503
96	266	2483
97	267	2462
98	268	2442
99	269	2423
100	270	2403
101	270	2381
102	271	2363
103	272	2344
104	273	2327
105	273	2309
106	274	2292
107	275	2275
108	276	2259
109	277	2242
110	278	2226
111	278	2211
112	279	2195
113	280	2183
114	281	2168
115	282	2154
116	283	2141
117	284	2126
118	285	2111
119	286	2098
120	287	2086
121	288	2073
122	288	2057
123	289	2044
124	290	2031
125	290	2018
126	291	2005
127	292	1990
128	293	1978
129	293	1966
130	294	1955
131	295	1943
132	296	1932
133	297	1921
134	298	1909
135	298	1898
136	299	1887
137	300	1875
138	301	1865
139	301	1854
140	302	1844
141	303	1834
142	304	1823
143	305	1813
144	305	1803
145	306	1793
146	307	1783
147	308	1775
148	309	1766
149	310	1757
150	311	1749
151	311	1740
152	312	1732
153	313	1724
154	314	1716
155	315	1708
156	316	1699
157	317	1691
158	318	1683
159	319	1675
160	319	1667
161	320	1659
162	321	1651
163	322	1644
164	323	1638
165	324	1631
166	325	1624
167	326	1616
168	327	1609
169	328	1602
170	329	1595
171	329	1587
172	330	1580
173	331	1573
174	332	1567
175	333	1560
176	334	1554
177	335	1547
178	335	1540
179	336	1534
180	337	1526
181	338	1520
182	339	1514
183	340	1508
184	341	1502
185	341	1496
186	342	1490
187	343	1484
188	344	1479
189	345	1473
190	346	1467
191	347	1461
192	348	1455
193	348	1449
194	349	1443
195	350	1437
196	351	1431
197	352	1426
198	353	1420
199	353	1415
200	354	1409
201	355	1404
202	356	1399
203	357	1393
204	357	1388
