iter	RMSE
0	14.57004682
1	14.09077647
2	13.63124111
3	13.19557237
4	12.77968723
5	12.38253848
6	12.00845952
7	11.6347456
8	11.27439943
9	10.91764293
10	10.61356241
11	10.27440647
12	9.965278365
13	9.661955928
14	9.395248736
15	9.102894514
16	8.819931355
17	8.541354396
18	8.299459837
19	8.042039178
20	7.803612351
21	7.561709724
22	7.348383818
23	7.119945388
24	6.903236717
25	6.68635914
26	6.491258929
27	6.280794192
28	6.086841359
29	5.90993317
30	5.726914429
31	5.546786612
32	5.399015871
33	5.241314949
34	5.120463534
35	4.977556571
36	4.835448376
37	4.686829296
38	4.547074192
39	4.412098587
40	4.279554594
41	4.170822677
42	4.060103472
43	3.946503372
44	3.84138561
45	3.735008525
46	3.636610529
47	3.531723655
48	3.439885977
49	3.337363445
50	3.244544148
51	3.156983933
52	3.074925008
53	2.997552412
54	2.919331859
55	2.837035947
56	2.763537062
57	2.70171019
58	2.628127391
59	2.563210249
60	2.49825926
61	2.432901337
62	2.372556172
63	2.310896056
64	2.252586413
65	2.194770392
66	2.140009502
67	2.090776678
68	2.037765706
69	1.987759098
70	1.937136636
71	1.889280154
72	1.84349892
73	1.803662728
74	1.760848289
75	1.725001158
76	1.687457922
77	1.651670212
78	1.614481685
79	1.583634263
80	1.551361891
81	1.517510877
82	1.483405853
83	1.455563308
84	1.425883565
85	1.398401194
86	1.373598893
87	1.34692564
88	1.324653005
89	1.300142042
90	1.279281913
91	1.256025709
92	1.235489859
93	1.214203406
94	1.193921516
95	1.178565017
96	1.160359485
97	1.14517061
98	1.128663567
99	1.109098415
100	1.09357167
101	1.080136962
102	1.064869199
103	1.053615489
104	1.03959292
105	1.025482865
106	1.014370946
107	1.011120101
108	0.9984282938
109	0.9871959384
110	0.9837888378
111	0.9732007588
112	0.9629489396
113	0.950292879
114	0.9401310771
115	0.9360341028
116	0.9251957114
117	0.9223174868
118	0.9105484214
119	0.9076561206
120	0.9037554761
121	0.9007070176
122	0.8916732632
123	0.8887284188
124	0.8845029586
125	0.8817082635
126	0.8709033343
127	0.862684341
128	0.8602178423
129	0.8578302024
130	0.8528565868
131	0.8455492583
132	0.843133466
133	0.8358409289
134	0.8275002093
135	0.825575412
136	0.8226708881
137	0.8206526759
138	0.8179208244
139	0.8105472124
140	0.803625094
141	0.7988928851
142	0.7913118376
143	0.7884434534
144	0.7846602137
145	0.7830056847
146	0.7807422347
147	0.7739254884
148	0.7676997697
