iter	Passed	Remaining
0	161	161137
1	163	81656
2	166	55267
3	168	41894
4	169	33814
5	171	28390
6	173	24618
7	175	21743
8	176	19477
9	178	17644
10	179	16150
11	181	14904
12	182	13875
13	184	12981
14	185	12199
15	187	11560
16	189	10964
17	191	10437
18	192	9945
19	194	9516
20	195	9128
21	197	8766
22	199	8453
23	200	8150
24	202	7891
25	203	7641
26	205	7403
27	206	7181
28	209	7018
29	211	6828
30	213	6672
31	215	6533
32	217	6384
33	219	6235
34	221	6095
35	222	5958
36	223	5829
37	225	5708
38	227	5595
39	228	5490
40	230	5389
41	232	5300
42	234	5213
43	235	5120
44	237	5034
45	238	4952
46	240	4877
47	242	4807
48	243	4735
49	245	4672
50	247	4604
51	248	4538
52	250	4474
53	251	4414
54	253	4360
55	256	4318
56	257	4262
57	259	4208
58	260	4159
59	262	4112
60	264	4065
61	265	4016
62	267	3971
63	268	3928
64	270	3895
65	272	3858
66	274	3822
67	276	3784
68	278	3752
69	279	3717
70	281	3681
71	283	3648
72	285	3619
73	286	3590
74	288	3562
75	290	3535
76	293	3513
77	294	3483
78	296	3452
79	297	3423
80	299	3400
81	301	3377
82	303	3355
83	305	3331
84	307	3309
85	309	3285
86	310	3260
87	312	3235
88	314	3220
89	316	3198
90	318	3179
91	319	3158
92	325	3170
93	326	3150
94	329	3136
95	330	3116
96	332	3098
97	334	3081
98	337	3069
99	339	3053
100	340	3034
101	342	3017
102	344	2996
103	345	2980
104	347	2964
105	349	2946
106	351	2929
107	353	2916
108	355	2902
109	357	2893
110	359	2876
111	361	2865
112	364	2858
113	366	2847
114	368	2837
115	370	2821
116	373	2816
117	375	2805
118	377	2798
119	379	2784
120	382	2778
121	385	2772
122	387	2760
123	388	2746
124	390	2736
125	392	2724
126	394	2711
127	396	2699
128	397	2684
129	399	2672
130	401	2661
131	402	2649
132	404	2637
133	406	2626
134	408	2617
135	410	2607
136	412	2599
137	414	2588
138	416	2577
139	417	2567
140	419	2557
141	422	2555
142	424	2544
143	427	2538
